id,en,it,no,de
login.welcome_message,"Welcome to our community space, where you can share upcoming Restart Parties and track their social and environmental impact. By doing so, we can empower and motivate at a local level, but also build global momentum for a change.",ciao,,guten tag
login.login_label,login,ciao,,guten tag
logln.email_label,email,ciao,,guten tag
login.passworld_label,password,ciao,,guten tag
login.email_placeholder,Your email...,ciao,,guten tag
login.password_placeholder,Your password...,ciao,,guten tag
login.forgotten_password_label,forgotten your password?,ciao,,guten tag
login.stats_devices_restarted,Devices Restarted,ciao,,guten tag
login.stats_co2_prevented,CO2 Emission prevented,ciao,,guten tag
login.stats_waste_prevented,Waste prevented,ciao,,guten tag
login.stats_parties_thrown,Parties thrown,ciao,,guten tag
login.recovery_header,recover your password,ciao,,guten tag
