id,en,it,no,de
login.welcome_message,"<span class=""patua-blue"">Welcome to our community space</span>, where you can share upcoming Restart Parties and track their social and environmental impact. By doing so, we can empower and motivate at a local level, but also build global momentum for a change.","<span class=""patua-blue"">Benvenuti nel nostro spazio di comunità</span>, dove potrai condividere le prossime feste di riavvio e monitorare il loro impatto sociale e ambientale. In tal modo, possiamo potenziare e motivare a livello locale, ma anche costruire un impulso globale per un cambiamento.",,guten tag
login.login_label,login,accesso,,guten tag
logln.email_label,email,e-mail,,guten tag
login.passworld_label,password,password,,guten tag
login.email_placeholder,Your email...,"La tua email...
",,guten tag
login.password_placeholder,Your password...,La tua password...,,guten tag
login.forgotten_password_label,forgotten your password?,hai dimenticato la tua password?,,guten tag
login.stats_devices_restarted,Devices Restarted,Dispositivi Riavviati,,guten tag
login.stats_co2_prevented,CO<sub>2</sub> Emission prevented,le emissioni di CO<sub>2</sub> sono evitate,,guten tag
login.stats_waste_prevented,Waste prevented,rifiuti impediti,,guten tag
login.stats_parties_thrown,Parties thrown,Parti gettate,,guten tag
login.recovery_header,recover your password,ciao,,guten tag
user.new_password,New Password,Nuovo Password,,
